center,left,left_URL,left1,left_URL2,left3,left_URL4,left5,right,right6,right7,right8,right9,right10,right11,right12,right13
1,O.J. Mayo (college),https://www.basketball-reference.com/players/m/mayooj01.html,O.J. Mayo,https://www.sports-reference.com/cbb/players/oj-mayo-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=usc,USC,2009,2016,21.8,3,4,2,1,1,1
2,Kevin Love (college),https://www.basketball-reference.com/players/l/loveke01.html,Kevin Love,https://www.sports-reference.com/cbb/players/kevin-love-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ucla,UCLA,2009,2020,82.0,1,6,1,3,3,3
3,Eric Gordon (college),https://www.basketball-reference.com/players/g/gordoer01.html,Eric Gordon,https://www.sports-reference.com/cbb/players/eric-gordon-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=indiana,Indiana,2009,2020,34.1,2,2,3,4,4,2
4,Michael Beasley (college),https://www.basketball-reference.com/players/b/beaslmi01.html,Michael Beasley,https://www.sports-reference.com/cbb/players/michael-beasley-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kansasst,Kansas State,2009,2019,15.6,4,1,4,2,2,4
5,Derrick Rose (college),https://www.basketball-reference.com/players/r/rosede01.html,Derrick Rose,https://www.sports-reference.com/cbb/players/derrick-rose-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=memphis,Memphis,2009,2020,39.7,8,3,5,5,6,5
6,Kyle Singler (college),https://www.basketball-reference.com/players/s/singlky01.html,Kyle Singler,https://www.sports-reference.com/cbb/players/kyle-singler-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2013,2018,10.0,6,5,6,6,5,6
7,Jerryd Bayless (college),https://www.basketball-reference.com/players/b/bayleje01.html,Jerryd Bayless,https://www.sports-reference.com/cbb/players/jerryd-bayless-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=arizona,Arizona,2009,2019,18.6,5,13,7,9,12,7
8,Donte Greene (college),https://www.basketball-reference.com/players/g/greendo01.html,Donte Greene,https://www.sports-reference.com/cbb/players/donte-greene-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=syracuse,Syracuse,2009,2012,1.5,7,9,9,8,8,14
9,J.J. Hickson (college),https://www.basketball-reference.com/players/h/hicksjj01.html,J.J. Hickson,https://www.sports-reference.com/cbb/players/jj-hickson-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ncstate,NC State,2009,2016,21.9,14,10,12,13,7,11
10,Patrick Patterson (college),https://www.basketball-reference.com/players/p/pattepa01.html,Patrick Patterson,https://www.sports-reference.com/cbb/players/patrick-patterson-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kentucky,Kentucky,2011,2020,30.6,15,17,11,12,9,12
11,Nick Calathes (college),https://www.basketball-reference.com/players/c/calatni01.html,Nick Calathes,https://www.sports-reference.com/cbb/players/nick-calathes-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=florida,Florida,2014,2015,2.6,12,14,8,10,16,17
12,Kosta Koufos (college),https://www.basketball-reference.com/players/k/koufoko01.html,Kosta Koufos,https://www.sports-reference.com/cbb/players/kosta-koufos-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=ohiost,Ohio State,2009,2019,28.3,9,16,10,14,13,22
13,DeAndre Jordan (college),https://www.basketball-reference.com/players/j/jordade01.html,DeAndre Jordan,https://www.sports-reference.com/cbb/players/deandre-jordan-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=texasam,Texas A&M,2009,2020,88.6,24,8,15,11,11,8
14,Austin Freeman (college),https://www.sports-reference.com/cbb/players/austin-freeman-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=georgetown,Georgetown,,,,16,15,16,15,19,24
15,Anthony Randolph (college),https://www.basketball-reference.com/players/r/randoan01.html,Anthony Randolph,https://www.sports-reference.com/cbb/players/anthony-randolph-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=lsu,LSU,2009,2014,5.8,23,12,13,17,10,9
16,Blake Griffin (college),https://www.basketball-reference.com/players/g/griffbl01.html,Blake Griffin,https://www.sports-reference.com/cbb/players/blake-griffin-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=oklahoma,Oklahoma,2011,2020,75.2,21,23,14,16,21,13
17,James Harden (college),https://www.basketball-reference.com/players/h/hardeja01.html,James Harden,https://www.sports-reference.com/cbb/players/james-harden-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=arizonast,Arizona State,2010,2020,135.0,25,11,17,23,27,21
18,Nolan Smith (college),https://www.basketball-reference.com/players/s/smithno01.html,Nolan Smith,https://www.sports-reference.com/cbb/players/nolan-smith-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=duke,Duke,2012,2013,-0.8,13,39,26,26,20,20
19,Gani Lawal (college),https://www.basketball-reference.com/players/l/lawalga01.html,Gani Lawal,https://www.sports-reference.com/cbb/players/gani-lawal-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=gatech,Georgia Tech,2011,2011,0.0,27,29,19,20,14,19
RSCI,,,,,,,,,,,,,,,,
20,Jonny Flynn (college),https://www.basketball-reference.com/players/f/flynnjo01.html,Jonny Flynn,https://www.sports-reference.com/cbb/players/jonny-flynn-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=syracuse,Syracuse,2010,2012,-1.1,29,22,20,21,26,15
21,Corey Fisher (college),https://www.sports-reference.com/cbb/players/corey-fisher-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,,,,11,27,22,36,22,46
22,Cole Aldrich (college),https://www.basketball-reference.com/players/a/aldrico01.html,Cole Aldrich,https://www.sports-reference.com/cbb/players/cole-aldrich-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=kansas,Kansas,2011,2018,9.6,10,30,36,38,24,36
23,E'Twaun Moore (college),https://www.basketball-reference.com/players/m/mooreet01.html,E'Twaun Moore,https://www.sports-reference.com/cbb/players/etwaun-moore-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=purdue,Purdue,2012,2020,14.4,22,35,25,27,33,31
24,Solomon Alabi (college),https://www.basketball-reference.com/players/a/alabiso01.html,Solomon Alabi,https://www.sports-reference.com/cbb/players/solomon-alabi-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=floridast,Florida State,2011,2012,0.0,19,24,30,25,25,39
25,Jamelle Horne (college),https://www.sports-reference.com/cbb/players/jamelle-horne-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=arizona,Arizona,,,,28,21,21,30,29,27
26,Corey Stokes (college),https://www.sports-reference.com/cbb/players/corey-stokes-2.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,,,,52,28,29,37,18,23
27,Taylor King (college),https://www.sports-reference.com/cbb/players/taylor-king-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=villanova,Villanova,,,,18,37,37,56,17,29
28,James Anderson (college),https://www.basketball-reference.com/players/a/anderja01.html,James Anderson,https://www.sports-reference.com/cbb/players/james-anderson-3.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=okstate,Oklahoma State,2011,2016,3.3,73,32,18,18,31,25
29,Gary Johnson (college),https://www.sports-reference.com/cbb/players/gary-johnson-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,,,,42,59,32,33,15,10
30,Durrell Summers (college),https://www.sports-reference.com/cbb/players/durrell-summers-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=michiganst,Michigan State,,,,35,56,23,22,32,16
31,Chris Wright (college),https://www.basketball-reference.com/players/w/wrighch02.html,Chris Wright,https://www.sports-reference.com/cbb/players/chris-wright-2.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=georgetown,Georgetown,2013,2013,0.0,17,53,31,48,23,32
32,Herb Pope (college),https://www.sports-reference.com/cbb/players/herb-pope-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=setonhall,Seton Hall,,,,57,31,33,34,28,30
33,Jai Lucas (college),https://www.sports-reference.com/cbb/players/jai-lucas-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=texas,Texas,,,,37,42,35,45,35,35
34,Austin Daye (college),https://www.basketball-reference.com/players/d/dayeau01.html,Austin Daye,https://www.sports-reference.com/cbb/players/austin-daye-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=gonzaga,Gonzaga,2010,2015,4.5,20,25,41,57,42,40
35,Kalin Lucas (college),https://www.basketball-reference.com/players/l/lucaska01.html,Kalin Lucas,https://www.sports-reference.com/cbb/players/kalin-lucas-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=michiganst,Michigan State,2015,2019,0.0,39,38,39,35,39,28
36,DeJuan Blair (college),https://www.basketball-reference.com/players/b/blairde01.html,DeJuan Blair,https://www.sports-reference.com/cbb/players/dejuan-blair-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=pitt,Pitt,2010,2016,19.0,58,57,24,19,55,18
37,Lacedarius Dunn (college),https://www.sports-reference.com/cbb/players/lacedarius-dunn-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=baylor,Baylor,,,,31,45,27,24,47,33
38,Alex Legion (college),https://www.sports-reference.com/cbb/players/alex-legion-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=flinternat,Florida International University,,,,53,43,42,39,30,34
39,Chandler Parsons (college),https://www.basketball-reference.com/players/p/parsoch01.html,Chandler Parsons,https://www.sports-reference.com/cbb/players/chandler-parsons-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=florida,Florida,2012,2020,28.9,26,19,34,32,65,54
RSCI,,,,,,,,,,,,,,,,
40,Chris Allen (college),https://www.sports-reference.com/cbb/players/chris-allen-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=iowast,Iowa State,,,,32,33,45,53,46,41
41,Dar Tucker (college),https://www.sports-reference.com/cbb/players/dar-tucker-1.html,(college),,,https://www.basketball-reference.com/friv/colleges.fcgi?college=depaul,DePaul,,,,55,44,46,52,40,43
42,Manny Harris (college),https://www.basketball-reference.com/players/h/harrima01.html,Manny Harris,https://www.sports-reference.com/cbb/players/manny-harris-1.html,(college),https://www.basketball-reference.com/friv/colleges.fcgi?college=michigan,Michigan,2011,2017,0.1,59,34,48,41,51,55
